migrate-1  | 2026-06-27T16:04:08.685538572Z drop cascades to function check_trade_remaining_quantity_invariant(uuid)
migrate-1  | 2026-06-27T16:04:08.685541088Z drop cascades to function enforce_trade_remaining_quantity_invariant()
migrate-1  | 2026-06-27T16:04:08.685543370Z drop cascades to function check_trade_wallet_escrow_closed_state_invariant(uuid)
migrate-1  | 2026-06-27T16:04:08.685545491Z drop cascades to function enforce_trade_wallet_escrow_closed_state_invariant()
migrate-1  | 2026-06-27T16:04:08.714408593Z DROP SCHEMA
migrate-1  | 2026-06-27T16:04:08.714434568Z CREATE SCHEMA
migrate-1  | 2026-06-27T16:04:08.786440411Z CREATE EXTENSION
migrate-1  | 2026-06-27T16:04:08.790909203Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:08.795693182Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:08.810366829Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.825335894Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.837442007Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.850135547Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.863309391Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.875205905Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.889070503Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.889822403Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:149: NOTICE:  constraint "idempotency_record_result_batch_fk" of relation "idempotency_record" does not exist, skipping
migrate-1  | 2026-06-27T16:04:08.890857482Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:08.894223010Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:08.914234155Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.914721224Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:173: NOTICE:  column "step_output" of relation "settlement_step" already exists, skipping
migrate-1  | 2026-06-27T16:04:08.916244231Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:08.930093963Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.940286829Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.951997017Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.959525806Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.967556087Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.980554096Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.993807866Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:08.996741604Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:08.998106050Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:08.999390372Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:09.001160572Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:09.003239343Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:09.004533874Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:09.010776084Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:09.014461492Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.017403037Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.019116957Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.019513086Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:498: NOTICE:  trigger "wallet_ledger_append_only_trigger" for relation "wallet_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.019523458Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.021635477Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.021918285Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.021968717Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:504: NOTICE:  trigger "item_stack_ledger_append_only_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.023484640Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.023891500Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.023908510Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:510: NOTICE:  trigger "item_stack_ledger_insert_integrity_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.025050242Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.038676373Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:09.043170745Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.047705911Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.052044570Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.057174646Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.061842108Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.065898305Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.070958686Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.076666616Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.082281473Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.086594269Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.090211280Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.102032628Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:09.107055285Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.108755517Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.109198511Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:607: NOTICE:  trigger "trade_instance_remaining_quantity_invariant_trigger" for relation "trade_instance" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.109225977Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.111063517Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.111591449Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:614: NOTICE:  trigger "item_stack_escrow_remaining_quantity_invariant_trigger" for relation "item_stack_escrow" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.111636514Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.113605287Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.114365549Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.114385234Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:621: NOTICE:  trigger "item_stack_projection_ledger_invariant_trigger" for relation "item_stack" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.116734326Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.117852202Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:628: NOTICE:  trigger "item_stack_ledger_projection_invariant_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.117855105Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.119373407Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.121681281Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.124150160Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:09.124738807Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:687: NOTICE:  trigger "trade_instance_wallet_escrow_closed_state_trigger" for relation "trade_instance" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.124757195Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.126459636Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:09.126891624Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:694: NOTICE:  trigger "wallet_escrow_closed_trade_invariant_trigger" for relation "wallet_escrow" does not exist, skipping
migrate-1  | 2026-06-27T16:04:09.126888693Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:09.129140019Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:10:26.731407007Z  ?column? 
migrate-1  | 2026-06-27T16:10:26.731968832Z ----------
migrate-1  | 2026-06-27T16:10:26.731980211Z         1
migrate-1  | 2026-06-27T16:10:26.731983610Z (1 row)
