rabbitmq-1  | 2026-06-27T16:04:12.026363566Z [38;5;87m2026-06-27 16:04:12.025773+00:00 [notice] <0.318.0> Feature flags: attempt to enable `stream_filtering`...[0m
rabbitmq-1  | 2026-06-27T16:04:12.145157764Z [38;5;87m2026-06-27 16:04:12.143832+00:00 [notice] <0.318.0> Feature flags: `stream_filtering` enabled[0m
rabbitmq-1  | 2026-06-27T16:04:12.145572865Z [38;5;87m2026-06-27 16:04:12.144663+00:00 [notice] <0.318.0> Feature flags: attempt to enable `stream_sac_coordinator_unblock_group`...[0m
rabbitmq-1  | 2026-06-27T16:04:12.293367761Z [38;5;87m2026-06-27 16:04:12.292640+00:00 [notice] <0.318.0> Feature flags: `stream_sac_coordinator_unblock_group` enabled[0m
rabbitmq-1  | 2026-06-27T16:04:12.293403814Z [38;5;87m2026-06-27 16:04:12.292949+00:00 [notice] <0.318.0> Feature flags: attempt to enable `restart_streams`...[0m
rabbitmq-1  | 2026-06-27T16:04:12.424037947Z [38;5;87m2026-06-27 16:04:12.423514+00:00 [notice] <0.318.0> Feature flags: `restart_streams` enabled[0m
rabbitmq-1  | 2026-06-27T16:04:12.424136863Z [38;5;87m2026-06-27 16:04:12.423775+00:00 [notice] <0.318.0> Feature flags: attempt to enable `message_containers`...[0m
rabbitmq-1  | 2026-06-27T16:04:12.570314447Z [38;5;87m2026-06-27 16:04:12.569662+00:00 [notice] <0.318.0> Feature flags: `message_containers` enabled[0m
rabbitmq-1  | 2026-06-27T16:04:12.570725176Z [38;5;87m2026-06-27 16:04:12.570020+00:00 [notice] <0.318.0> Feature flags: attempt to enable `message_containers_deaths_v2`...[0m
rabbitmq-1  | 2026-06-27T16:04:12.734027320Z [38;5;87m2026-06-27 16:04:12.733405+00:00 [notice] <0.318.0> Feature flags: `message_containers_deaths_v2` enabled[0m
rabbitmq-1  | 2026-06-27T16:04:12.734302365Z 2026-06-27 16:04:12.733882+00:00 [info] <0.254.0> DB: virgin node -> run peer discovery[0m
rabbitmq-1  | 2026-06-27T16:04:12.734318836Z [38;5;214m2026-06-27 16:04:12.734029+00:00 [warning] <0.254.0> Classic peer discovery backend: list of nodes does not contain the local node [][0m
rabbitmq-1  | 2026-06-27T16:04:12.754272613Z [38;5;87m2026-06-27 16:04:12.753737+00:00 [notice] <0.44.0> Application mnesia exited with reason: stopped[0m
rabbitmq-1  | 2026-06-27T16:04:13.015458763Z 2026-06-27 16:04:13.014858+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-06-27T16:04:13.015910835Z 2026-06-27 16:04:13.015034+00:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-06-27T16:04:13.016028423Z 2026-06-27 16:04:13.015226+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-06-27T16:04:13.016160178Z 2026-06-27 16:04:13.015566+00:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-06-27T16:04:13.024477040Z 2026-06-27 16:04:13.024011+00:00 [info] <0.254.0> Waiting for Mnesia tables for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-06-27T16:04:13.024512423Z 2026-06-27 16:04:13.024223+00:00 [info] <0.254.0> Successfully synced tables from a peer[0m
rabbitmq-1  | 2026-06-27T16:04:13.024792377Z 2026-06-27 16:04:13.024522+00:00 [info] <0.254.0> Running boot step tracking_metadata_store defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.024887815Z 2026-06-27 16:04:13.024669+00:00 [info] <0.574.0> Setting up a table for connection tracking on this node: tracked_connection[0m
