api-gateway-1  | 2026-06-27T16:16:33.961559469Z {"timestamp":"2026-06-27T16:16:33.961311569Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-1d0a36f1-1cb4-4e84-85d8-2a6248ae3809","duration_ms":21}
api-gateway-1  | 2026-06-27T16:16:33.977082351Z {"timestamp":"2026-06-27T16:16:33.976877609Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:34.001419379Z {"timestamp":"2026-06-27T16:16:34.000977354Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-fdb4adc9-197d-42bd-9a59-be7b452f0b8b","duration_ms":23}
api-gateway-1  | 2026-06-27T16:16:34.181957450Z {"timestamp":"2026-06-27T16:16:34.181717257Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":582}
api-gateway-1  | 2026-06-27T16:16:34.200977720Z {"timestamp":"2026-06-27T16:16:34.200745887Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-1aa73afe-8a1d-4876-aa43-cebd7d72dbec","duration_ms":18}
api-gateway-1  | 2026-06-27T16:16:34.216330719Z {"timestamp":"2026-06-27T16:16:34.216140227Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:34.284113985Z {"timestamp":"2026-06-27T16:16:34.283877478Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-a6020be9-5d57-4e53-8ba0-305d7c2bc780","duration_ms":67}
api-gateway-1  | 2026-06-27T16:16:34.460789643Z {"timestamp":"2026-06-27T16:16:34.460595291Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:34.483950917Z {"timestamp":"2026-06-27T16:16:34.483744382Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-12675a28-e4eb-42ab-9212-e7663ef216ba","duration_ms":22}
api-gateway-1  | 2026-06-27T16:16:34.500980390Z {"timestamp":"2026-06-27T16:16:34.500821766Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:34.572219142Z {"timestamp":"2026-06-27T16:16:34.572068365Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-063a9333-f9a2-4254-afcb-35772372094f","duration_ms":70}
api-gateway-1  | 2026-06-27T16:16:34.734658677Z {"timestamp":"2026-06-27T16:16:34.734465434Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":582}
api-gateway-1  | 2026-06-27T16:16:34.749470178Z {"timestamp":"2026-06-27T16:16:34.7491675Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-e0036acc-ebb4-4005-a512-c1fc96e554e6","duration_ms":14}
api-gateway-1  | 2026-06-27T16:16:34.762441776Z {"timestamp":"2026-06-27T16:16:34.762271597Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:34.824029820Z {"timestamp":"2026-06-27T16:16:34.82376621Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-75f29c82-7d99-4b1c-88dd-a15a7df5ee98","duration_ms":61}
api-gateway-1  | 2026-06-27T16:16:34.980688393Z {"timestamp":"2026-06-27T16:16:34.980485812Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:34.996315320Z {"timestamp":"2026-06-27T16:16:34.996107493Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-bb59dbd5-2efb-4f3e-acb2-c9e9d6094cf0","duration_ms":15}
api-gateway-1  | 2026-06-27T16:16:35.008782246Z {"timestamp":"2026-06-27T16:16:35.008640797Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:35.067891885Z {"timestamp":"2026-06-27T16:16:35.067639186Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-47bfbf22-d343-48ed-a059-7a704064cd21","duration_ms":58}
api-gateway-1  | 2026-06-27T16:16:35.219418346Z {"timestamp":"2026-06-27T16:16:35.219114024Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:35.236430281Z {"timestamp":"2026-06-27T16:16:35.236258067Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-cea5d262-28e6-4e30-ac3e-ee6b508832b7","duration_ms":16}
api-gateway-1  | 2026-06-27T16:16:35.252173760Z {"timestamp":"2026-06-27T16:16:35.25199857Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:35.276170616Z {"timestamp":"2026-06-27T16:16:35.275977658Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-fe84f814-ca20-471f-98bb-ffe243b36b63","duration_ms":23}
api-gateway-1  | 2026-06-27T16:16:35.428538222Z {"timestamp":"2026-06-27T16:16:35.428400152Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:35.444226857Z {"timestamp":"2026-06-27T16:16:35.444071231Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-70002388-ae70-4e67-be97-f7c5c1bcff24","duration_ms":15}
api-gateway-1  | 2026-06-27T16:16:35.457114757Z {"timestamp":"2026-06-27T16:16:35.45695448Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:35.458963693Z {"timestamp":"2026-06-27T16:16:35.45881212Z","level":"WARN","msg":"udp downstream call failed","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-93128756-542f-4d91-ab60-0ea0bc099f39","code":"failed_precondition","duration_ms":1}
api-gateway-1  | 2026-06-27T16:16:35.709176823Z {"timestamp":"2026-06-27T16:16:35.708999049Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:35.727994634Z {"timestamp":"2026-06-27T16:16:35.727757859Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-213c2c5a-0b9e-4ef9-b57d-76a6dfcb053a","duration_ms":18}
api-gateway-1  | 2026-06-27T16:16:35.745090816Z {"timestamp":"2026-06-27T16:16:35.744913219Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
